Date,Month,Year,State,Rural Arterial Miles,Urban Arterial Miles,All Miles,Rural Arterial Stations,Urban Arterial Stations,All Stations,Other Miles,Other Stations,Total VMT (Million),Year To Date VMT (Million),Moving 12-Month VMT (Million),VMT Change Rate(Monthly),VMT Change Rate (Annually),GDP in billions of current dollars,Monthly Labor Participation Rate,CPI,Inflation,Monthly Unemployment rate,Monthly Unemployment in tenth
1919-09-01,Sep,1919,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,13.375796178343968,0.0,0.0
1919-10-01,Oct,1919,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,13.125000000000009,0.0,0.0
1919-11-01,Nov,1919,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,13.496932515337411,0.0,0.0
1919-12-01,Dec,1919,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,14.545454545454527,0.0,0.0
1920-01-01,Jan,1920,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,16.96969696969697,0.0,0.0
1920-02-01,Feb,1920,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,20.37037037037037,0.0,0.0
1920-03-01,Mar,1920,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,20.12195121951219,0.0,0.0
1920-04-01,Apr,1920,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,21.55688622754493,0.0,0.0
1920-05-01,May,1920,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,21.89349112426038,0.0,0.0
1920-06-01,Jun,1920,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,23.66863905325445,0.0,0.0
1920-07-01,Jul,1920,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,19.54022988505748,0.0,0.0
1920-08-01,Aug,1920,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,14.689265536723164,0.0,0.0
1920-09-01,Sep,1920,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.35955056179774,0.0,0.0
1920-10-01,Oct,1920,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,9.944751381215443,0.0,0.0
1920-11-01,Nov,1920,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,7.027027027027022,0.0,0.0
1920-12-01,Dec,1920,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,2.645502645502651,0.0,0.0
1921-01-01,Jan,1921,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,-1.5544041450777255,0.0,0.0
1921-02-01,Feb,1921,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,-5.641025641025643,0.0,0.0
